"","Feature","Gain","Cover","Frequency"
"1","numReviews",0.266975051917309,0.318652917732486,0.183719193427931
"2","estimatedSalary",0.250543962085831,0.188904395194115,0.26773711725168
"3","avgOverallRating",0.217039133658212,0.100832266192809,0.122106049290515
"4","descriptionWordCount",0.0832730129054623,0.143214096265613,0.217326362957431
"5","num_NA",0.0480359494660637,0.023002663864041,0.0164301717699776
"6","experienceRequired",0.0456430934544179,0.0760395364360866,0.0817774458551158
"7","licenseRequiredJob",0.0438938096384054,0.073465299789155,0.025765496639283
"8","educationRequirements",0.0234545477401146,0.0199147703233678,0.0153099327856609
"9","supervisingJob",0.00639118113195377,0.0168194537959523,0.017176997759522
"10","num_job",0.00491395462912985,0.00732377611150494,0.0160567587752054
"11","state_sub",0.00343302756120742,0.0147196218404218,0.0123226288274832
"12","months",0.00338484039317482,0.0051011776074367,0.0112023898431665
"13","local_per",0.00301843541871829,0.0120100248470118,0.0130694548170276
